Title,Company,Min. Years of Exp. Required,Fresh Grad/Less Exp.,Classification,Posted Date,Job ID,URL,Exaction Location,District,Area,Min_Salary,Max_Salary
Assistant Manager / Analyst (Non-life Business),Insurance Authority,3,False,Accounting,2024-07-03 04:00:00,76987029,https://hk.jobsdb.com/job/76987029,Aberdeen,Southern,Hong Kong,0,0
Senior / Research Executive - Qualitative (Grad Job),IPSOS,,True,Marketing & Communications,2024-07-17 04:00:00,75995874,https://hk.jobsdb.com/job/75995874,Hung Hom,Kowloon City,Kowloon,0,0
Researcher of Bioinformatics,生命密碼有限公司,,False,Science & Technology,2024-07-13 04:00:00,77241225,https://hk.jobsdb.com/job/77241225,Kowloon Bay,Kwun Tong,Kowloon,0,0
Senior Marketing Executive (CRM),D & G Development Limited,3,False,Marketing & Communications,2024-07-13 04:00:00,77252274,https://hk.jobsdb.com/job/77252274,,Kwai Tsing,New Territories,0,0
Junior Business Analyst - Insurance,**Private,,False,Information & Communication Technology,2024-07-10 04:00:00,77157945,https://hk.jobsdb.com/job/77157945,,Kowloon City,Kowloon,0,0
Business Analyst,AXA Hong Kong,2,False,Information & Communication Technology,2024-07-09 04:00:00,77124957,https://hk.jobsdb.com/job/77124957,Wong Chuk Hang,Southern,Hong Kong,0,0
System Analyst,ESD Services Limited (ESDlife),,False,Information & Communication Technology,2024-07-16 04:00:00,76651524,https://hk.jobsdb.com/job/76651524,Hung Hom,Kowloon City,Kowloon,0,0
E-Commerce Officer,World-Link Logistics (Asia) Holding Limited,2,False,Marketing & Communications,2024-07-10 04:00:00,77143993,https://hk.jobsdb.com/job/77143993,Kowloon Bay,Kwun Tong,Kowloon,0,0
Senior Environmental Consultant - EM&A,Fugro Technical Services Limited,7,False,Science & Technology,2024-07-12 04:00:00,77212059,https://hk.jobsdb.com/job/77212059,Kwai Hing,Kwai Tsing,New Territories,0,0
Procurement - Senior Officer,VidaXL International (HK) Limited,,False,"Manufacturing, Transport & Logistics",2024-07-13 04:00:00,77247926,https://hk.jobsdb.com/job/77247926,Kowloon Bay,Kwun Tong,Kowloon,0,0
Tax - Customer Tax Operations & Reporting Services - Staff / Senior - HK,EY,,False,Accounting,2024-06-28 04:00:00,76871824,https://hk.jobsdb.com/job/76871824,Quarry Bay,Eastern,Hong Kong,0,0
"Manager, Data Service and Delivery",Bank of China (Hong Kong) Limited,5,False,Information & Communication Technology,2024-07-05 04:00:00,77045148,https://hk.jobsdb.com/job/77045148,,,Hong Kong,0,0
Senior Analyst Programmer,Konew Fintech Corporation Limited,4,False,Information & Communication Technology,2024-07-05 04:00:00,77032600,https://hk.jobsdb.com/job/77032600,,Central and Western,Hong Kong,0,0
Financial Analyst,Real See International Intelligent Technology Company Limited,,False,Accounting,2024-07-13 04:00:00,77247344,https://hk.jobsdb.com/job/77247344,,Central and Western,Hong Kong,0,0
