Title,Company,Min. Years of Exp. Required,Fresh Grad/Less Exp.,Location,Classification,Salary,Posted Date,Job ID,URL
"Senior Analyst, Data Intelligence, Innovate Jardines",Jardines,3,False,Hong Kong,Information & Communication Technology,,2024-06-20 09:00:00,76693185,https://hk.jobsdb.com/job/76693185
(Senior) Business Strategy Manager (Cost Team),Bank of China (Hong Kong) Limited,,False,Hong Kong,Banking & Financial Services,,2024-07-13 09:00:00,77246901,https://hk.jobsdb.com/job/77246901
Assistant Data Analytics Manager,Jardine Restaurant Group,3,False,"Hung Hom, Kowloon City District",Information & Communication Technology,,2024-06-26 09:00:00,76805794,https://hk.jobsdb.com/job/76805794
Research Assistant / Research Associate / Research Engineer,Centre for Perceptual and Interactive Intelligence (CPII) Limited,,False,"Science Park, Tai Po District",Science & Technology,,2024-07-09 09:00:00,77119934,https://hk.jobsdb.com/job/77119934
System Analyst,United Chinese Plastics Products Co Ltd,5,False,"Hung Hom, Kowloon City District",Information & Communication Technology,,2024-07-05 09:00:00,77048519,https://hk.jobsdb.com/job/77048519
Senior Business Analyst,EC Healthcare,3,False,"Quarry Bay, Eastern District",Information & Communication Technology,,2024-07-03 09:00:00,76987939,https://hk.jobsdb.com/job/76987939
Junior Auditor / Semi Senior,Bond West Consultants,,True,Kowloon,Accounting,"$16,000 - $22,000 per month",2024-07-11 09:00:00,77171756,https://hk.jobsdb.com/job/77171756
Assistant/ CRM Manager,Beauskin Medical Group Limited,3,True,"Kowloon Bay, Kwun Tong District",Marketing & Communications,,2024-07-11 09:00:00,77168439,https://hk.jobsdb.com/job/77168439
Digital Marketing Executive (Regional role) (VTT329/J03),VTECH Corporate Services Ltd,1,False,Tai Po District,Marketing & Communications,,2024-07-12 09:00:00,77205657,https://hk.jobsdb.com/job/77205657
Laboratory Technician,Saint-Gobain Hong Kong Limited,,False,Yuen Long District,Science & Technology,,2024-07-16 09:00:00,77275790,https://hk.jobsdb.com/job/77275790
Global Procurement Analyst,Health and Happiness (H&H) Hong Kong Limited,5,False,"Quarry Bay, Eastern District","Manufacturing, Transport & Logistics",,2024-07-03 09:00:00,76973196,https://hk.jobsdb.com/job/76973196
Credit Analyst - Listed Bank,Conners Consulting Limited,5,False,"Central, Central and Western District",Banking & Financial Services,,2024-07-13 09:00:00,76973733,https://hk.jobsdb.com/job/76973733
"Senior Officer, Digital Enablement and Data Support, Corporate Banking",DBS Bank (Hong Kong) Limited,3,False,"San Tin, Yuen Long District",Banking & Financial Services,,2024-07-03 09:00:00,77011859,https://hk.jobsdb.com/job/77011859
Accenture Song - Marketing Transformation Specialist/Consultant,Accenture Company Limited,3,False,"Tai Koo, Eastern District",Consulting & Strategy,,2024-07-11 09:00:00,77172848,https://hk.jobsdb.com/job/77172848
Assistant Shop Audit Officer,Luk Fook Holdings Company Limited,,False,Sha Tin District,Retail & Consumer Products,,2024-07-13 09:00:00,77250797,https://hk.jobsdb.com/job/77250797
(Senior) Digital Marketing Executive,Ray White (Hong Kong) Limited,3,False,"Tsim Sha Tsui, Yau Tsim Mong District",Real Estate & Property,"$20,000 - $29,999 per month",2024-07-13 09:00:00,77237135,https://hk.jobsdb.com/job/77237135
Associate - Structured Finance Modelling and Analytics,中証鵬元國際評級有限公司,,False,Central and Western District,Banking & Financial Services,,2024-06-29 09:00:00,76910175,https://hk.jobsdb.com/job/76910175
Technology - Oracle PMO Analyst/Sr Analyst,Accenture Technology Solutions (HK) Ltd,1,False,Kowloon,Information & Communication Technology,,2024-07-03 09:00:00,76562651,https://hk.jobsdb.com/job/76562651
Assistant Claims Manager,ONEDEGREE HONG KONG LIMITED,4,False,"Ngau Tau Kok, Kwun Tong District",Insurance & Superannuation,,2024-07-09 09:00:00,77107632,https://hk.jobsdb.com/job/77107632
Business Support Specialist (SAP),Frank Recruitment Group Private Ltd.,0,False,Central and Western District,Information & Communication Technology,$22000.00 - $30k p.m. + Negotiable,2024-07-09 09:00:00,77108166,https://hk.jobsdb.com/job/77108166
Appointed Actuary | Life Insurance (Extra Headcount),Randstad Hong Kong Limited,1,False,Central and Western District,Insurance & Superannuation,$130k - $160k p.a. + competitive performance bonus,2024-07-10 09:00:00,77155384,https://hk.jobsdb.com/job/77155384
"Assistant Product Manager (~40k, Supplement)",Manpower Services (Hong Kong) Limited,5,False,"Kwun Tong, Kwun Tong District",Marketing & Communications,,2024-07-16 09:00:00,77276578,https://hk.jobsdb.com/job/77276578
Marketing Manager,Asia Airfreight Terminal Co Ltd,5,True,"Airport Area, Islands District","Manufacturing, Transport & Logistics",,2024-07-16 09:00:00,74892963,https://hk.jobsdb.com/job/74892963
Assistant Business Planning Manager (Management Accounting/Analytics) - CSF7,HKT,6,False,"Quarry Bay, Eastern District",Accounting,,2024-06-29 09:00:00,76912226,https://hk.jobsdb.com/job/76912226
Sustainability/ESG Consultancy – Senior Consultant (25K),Jobslink Limited,3,False,Central and Western District,Consulting & Strategy,"$20,000 - $30,000 per month",2024-07-12 09:00:00,77212661,https://hk.jobsdb.com/job/77212661
"Senior Officer, Sales Reporting / Performance",AXA Hong Kong,3,False,Central and Western District,Administration & Office Support,,2024-07-06 09:00:00,76288619,https://hk.jobsdb.com/job/76288619
"AVP, Trade Support (Delta One)",Be Myjob Company Limited,6,False,Central and Western District,Banking & Financial Services,,2024-07-16 09:00:00,77276537,https://hk.jobsdb.com/job/77276537
Systems Analyst (Job ID: 10024),The Hong Kong University of Science and Technology,,False,"Clear Water Bay, Sai Kung District",Information & Communication Technology,,2024-07-11 09:00:00,77179679,https://hk.jobsdb.com/job/77179679
Assistant Manager Data Governance​,Cathay Pacific Airways Ltd,5,False,"Tung Chung, Islands District",Information & Communication Technology,,2024-06-28 09:00:00,76865844,https://hk.jobsdb.com/job/76865844
Mainframe z Developer - COBOL (50-70k + bonus),Ambition,1,False,Central and Western District,Information & Communication Technology,$50k - $70k p.m.,2024-07-15 09:00:00,77269092,https://hk.jobsdb.com/job/77269092
Medical Laboratory Technologist MLT I (Part1),Hong Kong Medical Laboratory Centre Limited,2,False,Sha Tin District,Science & Technology,,2024-07-16 09:00:00,76984380,https://hk.jobsdb.com/job/76984380
Registered Lift Engineer,Loedige Asia Limited,,False,Tsuen Wan District,Engineering,,2024-07-16 09:00:00,73101675,https://hk.jobsdb.com/job/73101675
Marketing Executive,D & G Development Limited,,False,Kwai Tsing District,Marketing & Communications,,2024-07-13 09:00:00,77252405,https://hk.jobsdb.com/job/77252405
Actuarial Intern,Blue Insurance Limited,,False,"Kowloon Bay, Kwun Tong District",Insurance & Superannuation,,2024-07-05 09:00:00,77043365,https://hk.jobsdb.com/job/77043365
"Claims Manager, P&C up to 45K monthly",Gravitas Recruitment Group (Hong Kong) Limited,5,False,Islands District,Insurance & Superannuation,$40k - $50k p.m.,2024-07-06 09:00:00,77062258,https://hk.jobsdb.com/job/77062258
Marketing Specialist (Community Engagement and Business Development),FinPod Limited,1,False,Hong Kong Island,Marketing & Communications,"$20,000 - $25,000 per month",2024-07-11 09:00:00,77182774,https://hk.jobsdb.com/job/77182774
Assistant Quality Assurance Officer,Tai Pan Bread & Cakes Company Limited,,False,Wong Tai Sin District,"Manufacturing, Transport & Logistics",,2024-07-16 09:00:00,77281045,https://hk.jobsdb.com/job/77281045
Fund Research Analyst,Connexe Search Limited,3,False,"Central, Central and Western District",Banking & Financial Services,"$35,000 - $50,000 per month",2024-07-02 09:00:00,76943772,https://hk.jobsdb.com/job/76943772
"Developer  (Junior to SA Level, Multiple position)",Hays Hong Kong Limited,,False,Central and Western District,Information & Communication Technology,,2024-07-12 09:00:00,77214064,https://hk.jobsdb.com/job/77214064
Human Resources Officer,Wo Hing Construction Company Ltd,2,False,"Prince Edward, Yau Tsim Mong District",Human Resources & Recruitment,,2024-07-16 09:00:00,76836407,https://hk.jobsdb.com/job/76836407
System Analyst,Green Tomato Limited,6,True,"Kowloon Bay, Kwun Tong District",Information & Communication Technology,,2024-07-03 09:00:00,76977747,https://hk.jobsdb.com/job/76977747
